id,p_num,title,abst
11,US08230038,System for operating application software in a safety critical environment,A system and method for operating application software in a safety critical environment comprises providing a data processor having an operating system for effecting processing operations and an intermediate shell which interacts with the operating system and application software to emulate a safety critical environment to the application software. The application software is run by interacting solely with the intermediate shell to effect a safety critical environment therefor.
12,US08387310,System for operating application software in a safety critical environment,A system and method for operating application software in a safety critical environment comprises providing a data processor having an operating system for effecting processing operations and an intermediate shell which interacts with the operating system and application software to emulate a safety critical environment to the application software. The application software is run by interacting solely with the intermediate shell to effect a safety critical environment therefor.
13,US08178930,Method and system for determining software reliability,"An improved system and method for determining software reliability is provided. In a preferred embodiment of the present invention, a mapping mechanism and a preferred automated testing system are used. The mapping mechanism provides for the creation of a number of hits to failure metric. The preferred automatic testing system of the preferred embodiment of the present invention provides for the automatic testing of software and the creation of the number of hits to failure and the elapsed time to failure. The combination of the number of hits to failure metric and the results of the preferred automated testing system provide for a more accurate indication of the reliability of software."
14,US08732624,Method for determining software reliability,"A method for determining the reliability of software includes determining a total number of software input combinations, and then determining a matrix of test input combinations that is a subset of the total number. The software is tested for each test input combination, and the ratio of the number of successful tests to the number of test input combinations, coupled with an effectiveness ratio that is determined by the number of test input combinations divided by the total number of input combinations, represents the efficacy of the software testing. Future software errors are predicted based on the testing, and a decision whether to continue software modification and testing is made in response to the prediction of future software errors and the indicated efficacy of the software testing."
15,US09346074,Methods for improving reliability while upgrading software programs in a clustered computer system,"A method for enhancing reliability while upgrading a software program implemented in a clustered computer system from a first version to a second version. The software program is implemented as software modules running on a plurality of computers coupled in a cluster configuration in a clustered computer system. The method includes ascertaining a certification level associated with each of the software modules. If a certification level of a given software module of the plurality of software modules has a first certification level, the method includes limiting a load level on the given software module to a first load level. If a certification level of a given software module of the plurality of software modules has a second certification level, the method includes allowing the load level on the second routing transaction requests to reach a second load level higher than the first load level."
16,US09752840,System and method for reliability-based load balancing and dispatching using software rejuvenation,"A method of operating a node of a computer network which uses a plurality of servers, by determining that one of the servers has degraded health due to software aging, assigning tasks to the other servers while reducing workload at the first server, rejuvenating the first server once its workload has terminated and, after rejuvenation, assigning tasks to the first server. The servers are clustered to provide service based on a single server address (TCP/IP). The node may include a gateway interface which receives the server requests and passes them on to a dispatcher at the node. Tasks are assigned in response to health-related messages sent by the servers and received by a workload monitor agent of the dispatcher. "
17,US09540649,System and method for testing software reliability over extended time,"A system and method for accelerated reliability testing of computer system software components over prolonged periods of time provides a uniform, extensible, reporting framework that includes a plurality of reporting clients, at least one controller. The system and method are adaptable for operation over a dedicated intranet as well as the Internet. It provides for tracking the reliability of system components and logs failures of varying severity that may be expected to occur over time. This data is useful, among other things, for estimating mean time between failures for software being tested and expected support costs. This information is particularly useful in providing a reliability measure where multiple independently developed software modules are expected to function together. The testing includes random scheduling of tasks and sleep intervals reflecting expected usage patterns, but at a faster pace to efficiently sample the state space to detect sequence of operations that are likely to result in failures in actual use. The method and system include using pseudo-random numbers to schedule the tasks and provides for storage of random numbers to facilitate reproducing failures, for instance for debugging efforts."
18,US09465881,Method of verifying pretrained neural net mapping for use in safety-critical software,"A method of verifying pretrained, static, feedforward neural network mapping software using Lipschitz constants for determining bounds on output values and estimation errors is disclosed. By way of example, two cases of interest from the point of view of safety-critical software, like aircraft fuel gauging systems, are discussed. The first case is the simpler case of when neural net mapping software is trained to replace look-up table mapping software. A detailed verification procedure is provided to establish functional equivalence of the neural net and look-up table mapping functions on the entire range of inputs accepted by the look-up table mapping function. The second case is when a neural net is trained to estimate the quantity of interest form the process (such as fuel mass, for example) from redundant and noisy sensor signals. Given upper and lower bounds on sensor noises and on modeling inaccuracies, it is demonstrated how to verify the performance of such a neural network estimator (a ""black box"") when compared to a true value of the estimated quantity."
19,US10128155,Software service handoff mechanism with a performance reliability improvement mechanism (PRIM) for a collaborative client-server system," A collaborative client-server system having performance reliability improvement (PRIM) includes collaboration techniques for sharing server data among two or more servers, each server coupled to one or more client computers. A communication link between a client computer and a server is handed off to another respective one of the two or more servers under a variety of conditions. Hand off conditions include, congestion of the server processing load, congestion of the communication link between the client computer and the server, and loss of data signal integrity between the client computer and the server. "
20,US10498318,Software safety execution system," A secure software execution mechanism appropriate for software circulation is provided. At a sender site 312, an executable file 332 and a data file 334 processed by the executable file are encapsulated. The remaining two files 336 and 338 do not physically exist in a pot 320 at the sender site, and an archive file 320 is transferred to a receiver site 314. At the receiver site 314, intangible files 336 and 338 within a pot may be mapped to a file 354 in a local file system or a file 356 within another pot 350 and processed using a file 334 in a pot or the mapped file 354 or 356 by executing a program 332, in conformity with the specification of a security policy 340.  "
21,US10438130,Methods and systems for analyzing software reliability and availability," Disclosed is a software application reliability and availability tracking and reporting mechanism that collects event data from target computers, analyzes the data, and produces reliability and availability reports. A network administrator specifies target computers for which event data are collected. The collected event data along with a reliability model are provided to a reliability and availability analysis engine. Output from the engine includes reliability and availability data expressed as durations of time spent in each state and as associations with the events. The reliability and availability data are fed to a report generator which computes reliability and availability metrics. The metrics are used to generate reports that can be interpreted by the network administrator without the need for specialized data analysis skills. The metrics are also aggregated to provide historical and relative ranking reliability and availability data useful for planning and tracking against reliability and availability objectives. "
22,US10371975,Certifying software for safety-critical systems," A method of collecting information includes retrieving a criterion for certifying software for use on a safety-critical system, receiving user input information associated to the criterion, determining if the input information satisfies criterion for certifying the software for use on the safety-critical system, and providing output information to the user where the output information is identifying if the criterion is satisfied. "
23,US10437657,"Methods and systems for collecting, analyzing, and reporting software reliability and availability"," Disclosed is a software application reliability and availability tracking and reporting mechanism that collects event data from target computers, analyzes the data, and produces reliability and availability reports. A network administrator specifies target computers for which event data are collected. The collected event data along with a reliability model are provided to a reliability and availability analysis engine. Output from the engine includes reliability and availability data expressed as durations of time spent in each state and as associations with the events. The reliability and availability data are fed to a report generator which computes reliability and availability metrics. The metrics are used to generate reports that can be interpreted by the network administrator without the need for specialized data analysis skills. The metrics are also aggregated to provide historical and relative ranking reliability and availability data useful for planning and tracking against reliability and availability objectives. "
24,US10438129,Methods and systems for planning and tracking software reliability and availability," Disclosed is a software application reliability and availability tracking and reporting mechanism that collects event data from target computers, analyzes the data, and produces reliability and availability reports. A network administrator specifies target computers for which event data are collected. The collected event data along with a reliability model are provided to a reliability and availability analysis engine. Output from the engine includes reliability and availability data expressed as durations of time spent in each state and as associations with the events. The reliability and availability data are fed to a report generator which computes reliability and availability metrics. The metrics are used to generate reports that can be interpreted by the network administrator without the need for specialized data analysis skills. The metrics are also aggregated to provide historical and relative ranking reliability and availability data useful for planning and tracking against reliability and availability objectives. "
25,US10666446,Integrated electronic signatures for approval of process control and safety system software objects," A software object approval system is integrated with a process control or safety system environment and, in particular, with a process control or safety system design environment to implement and manage electronic approval of new software objects created within the process control and safety system environment. The software object approval system electronically generates identification information representing a group of entities whose approval is needed prior to implementing a software object within the process control or safety system. The system may then send the software object to the entities and receive from each entity an electronic indication regarding approval of the software object. The approval system prevents the process control or safety system from implementing the software object until each entity within the group of entities approves the software object. "
26,US10988738,Child safety ID software-data collection and data distribution program," A method for entering identification data of a person or pet includes forming personal information of the person or said pet, forming picture images of the person or pet, and combining the personal information and the picture image simultaneously.  "
27,US10762087,Automated and embedded software reliability measurement and classification in network elements, The present invention provides automated kernel software outage measurement and classification. System failures are categorized into software-caused failures and hardware-caused failures. Software failures are further classified as unplanned outages and operational outages. The operational outages are then classified as unplanned operational outages and planned operational outages. 
28,US10999583,Reliability testing of software modules," A system and method for testing the reliability of a target module is presented. A reliability testing module executes a testing script by directing the target module to perform various functions, and by further consuming system resources by executing test applications. The behaviors of the target module are recorded and evaluated, and a reliability score is generated for the target module. The reliability score enables a user to compare the reliability of a first target module to that of a second. "
29,US11325773,Apparatus and method for software-based control flow checking for soft error detection to improve microprocessor reliability," A method and apparatus for software-based control flow checking for soft error detection. In one embodiment, the method includes the instrumentation of one basic block of a target program to update a signature register with a successor basic block signature at an end of the basic block. In addition, the basic block is instrumented to verify that contents of the signature register match a basic block signature at a beginning of the basic block. In one embodiment, an instruction is inserted within the basic block to cause the signature register to store a predetermined value if the contents of the signature register match a basic block signature. In one embodiment, a basic block may be subdivided into a plurality of regions; each region is assigned a signature and instrumented to update the signature register at a beginning of each region. Other embodiments are described and claimed. "
30,US11323969,Reliability improvement using signal handler for fault recovery in software emulator," As fast and powerful commodity processors have been developed, it has become practical to emulate on platforms built using commodity processors the proprietary hardware systems of powerful older computers that have been developed and honed over many years. The reliability and robustness of the legacy system and its emulated replacement are of utmost importance. Since the emulation system software is new and complex it may have undiscovered errors in coding which if encountered may result in an abort of the emulation program itself. This software emulation program abort is akin to a logic failure or bug in the legacy system hardware. Utilizing a signal handler in analysis and recovery from coding errors, while not taking greater risk of data corruption, increases the stability and robustness of the emulated computer system and is akin to hardware error correction in the legacy system hardware design.  "
31,US11191282,System and method of measuring the reliability of a software application," A computer automated system for measuring software reliability is provided. The system comprises a data store including mean-time-between-failure and mean-time-to-repair metrics for applications and an analysis component. The analysis component determines a reliability index for an application and generates a report associating the reliability index with the application. The reliability index is determined based on dividing the mean-time-between-failure of the application by the mean-time-to-repair of the application. An embodiment of the computer automated system further includes a maintenance financial index that is used to evaluate the development plan, where the maintenance financial index is based on the product of the reliability index multiplied by a delivery rate metric. The delivery rate metric is proportional to a software size metric and inversely proportional to a software development effort metric. "
32,US11817551,METHOD AND SOFTWARE PRODUCT FOR MANAGING DATA EXCHANGE IN A HIGH-DYNAMICS SAFETY-CRITICAL SYSTEM," Disclosed herein is a high-dynamics safety-critical system, comprising a plurality of apparatuses, a plurality of interface devices through which a user can interact with the apparatuses, and a control computer connected to the apparatuses and the interface devices and on which there is installed a software product designed to implement and manage the data exchange between management modules for the apparatuses and management modules for the interface devices, in which the management modules for the interface devices acquire the selections made by a user via the interface devices, the selections are then transformed into commands for the apparatuses, and the commands thus generated are then stored in a shared database in such a way as to be usable by the management modules of the apparatus and actuated on the latter. "
33,US11477043,Constraint solver to code based test data generation for improving software reliability and security," The present invention is directed to automatically analyzing software systems for identifying faults or bugs and/or detection of malicious code. In various embodiments, the present invention measures code coverage for high priority invocable program elements, uses a relaxed coverage estimation technique that, instead of guaranteeing which code units will be executed, guarantees that at least a certain number of code units will be executed, determines and solves constraints in code to identify infeasible paths containing one or more selected nodes, determines, for a composite data type, a range of values for each of at least two non-composite data fields, and/or translates, prior to code analysis complex code into simpler code having fewer operators. "
34,US11818612,"Software reliability analysis using alerts, asserts and user interface controls"," Described is a technology by which software instrumentation data collected during software program usage sessions is analyzed to identify potential problems with software program usage, such as based on frequency of problem occurrence during the usage sessions. Reliability metrics may be calculated from the information. Failure data additionally collected during the usage sessions may be accessed to derive details that correspond to the potential problems. In one example, the information may be analyzed to determine which alerts and/or asserts occurred most often, and/or to determine a relationship between user interface control operations (e.g., clicks and usage of commands) and alerts or asserts. "
35,US11620102,"QUALITY ASSURANCE IN SOFTWARE SYSTEMS THROUGH AUTONOMIC RELIABILITY, AVAILABILITY AND SERVICEABILITY CODE GENERATIOIN"," A system and method for automatic code generation includes parsing source code in a source program to automatically generate reliability, accessibility and serviceability (RAS) code in response to the source code. The automatically generated code is executed in a check in stage. All, a portion or none of the automatically generated code is selectively removed during a check out stage to keep the source program clean and focused. "
36,US13091977,CELLULAR PHONE SOFTWARE APPLICATION TO PROMOTE SAFETY AND SELECTIVELY DETER UNSAFE PHONE USE," A method and apparatus for providing a user of a mobile device, such as a cell phone, with applicable legal or safety information, such as restrictions on the use of a cell phone, potential fines for cell phone use, potential dangers, personal protective equipment requirements, prohibitions, guidelines and the like, based on GPS position of the mobile device. A gaming aspect is incorporated as a method of incentivizing drivers to utilize the application by providing reward points uses the cell phone in a safe manner and consistent with applicable laws. Accrued points may be redeemed for gift cards or similar rewards. "
37,US12849107,RELIABILITY AND AVAILABILITY MODELING OF A SOFTWARE APPLICATION, Reliability and availability modeling of a software application is provided. A reliability and availability model is generated in the form of a white-box model of a software application. An existing model of the software application's structure and behaviour is inspected and/or the software application is inspected. The accuracy of the reliability and availability model is determined and reliability and availability metrics for the software application are calculated. Additional input parameters relating to the software application's performance may be determined and the additional input parameters may be added to the reliability and availability model. 
38,US12560070,SYSTEM AND METHOD FOR TESTING SOFTWARE RELIABILITY USING FAULT INJECTION, A software reliability test system is provided. The software reliability test system includes a fault injection system and a workload generation system. The fault injection system creates a fault injection delegate to inject a fault into software selected as a test target from software of a target system. The workload generation system generates a workload in the selected software according to a control of the fault injection system to allow the fault injection delegate to inject the fault into the selected software. 
39,US12654022,"Method to control operation and safety of  a hydraulic press, which hydraulic press works according to this method and uses the software and carrier applied to it"," Method for a safety and testing control for a press, including a hydraulic system with at least one hydraulic cylinder, operated by means of a hydraulic valve controlled by a programmable processing unit where a number of electrical signal inputs and outputs are provided and into which a software programme is loaded, where a position sensor is provided that indicates the position of the hydraulic cylinder and where the software application works solely on the basis of an internal timer and the aforementioned position sensor can control the motion of the press as well as a hydraulic press working according to this method and using the software and carrier. "
40,US12024637,Mechanism to provide software guaranteed reliability for GSM operations," In a global shared memory (GSM) environment, an initiating task at a first node with a host fabric interface (HFI) uses epochs to provide reliability of transmission of packets via a network fabric to a target task. The HFI generates a packet for the initiating task addressed to the target task, and automatically inserts a current epoch of the initiating task into the packet. A copy of the current epoch is maintained by the target task, which accepts for processing only packets having the correct epoch, unless the packet is tagged for guaranteed-once delivery. When a packet delivery is accepted, the target task sends a notification to the initiating task. If the initiating task does not receive the notification of delivery for the issued packet, the initiating task updates the epoch at both the target node and the initiating node and re-transmits the packet. "
41,US12013300,METHOD AND SYSTEM FOR ASSESSING AND ANALYZING SOFTWARE RELIABILITY," A method for assessing and analyzing software reliability comprises the steps of: collecting failure data from a software system during a testing period; providing a reliability model having a testing compression factor, wherein the reliability model is used to fit the failure data; providing an estimation function derived from the reliability model; obtaining the value of the testing compression factor in accordance with the estimation function; and using the testing compression factor to determine the efficiency of test cases. "
42,EP9490-3238.7,A SYSTEM FOR OPERATING APPLICATION SOFTWARE IN A SAFETY CRITICAL ENVIRONMENT,
43,EP1993-903238,A SYSTEM FOR OPERATING APPLICATION SOFTWARE IN A SAFETY CRITICAL ENVIRONMENT,
44,EP0130-0063.3,System and method for verifying safety of software,"A system is provided for verifying the safety of a program down-loaded to a device only once, the safety of the software thereafter being thereby ensured. The system includes a safe storage (212) for storing only a program for which safety has been ensured by a safety verifier (211), and for ensuring that the program cannot be stored by another means or rewritten. An executer (213) reads the program from the safe storage (212) for execution."
45,EP0044-0236.8,Program module and method to increase the safety of a software controlled system,
46,EP0098-9262.1,METHOD OF VERYFING PRETRAINED NEURAL NET MAPPING FOR USE IN SAFETY-CRITICAL SOFTWARE,
47,EP9925-0361.5,Method for updating safety critical software online in railway signalling technology,
48,EP0302-6115.0,Method and device for prediction of the reliability of software programs," The present invention relates to a method and device for prediction of the reliability of software programs, in particular of the number of failures occurring during test and the number of faults remaining in a software program after test. By collecting data about the testing effort and the number of failures provoked during the test as well as software maturity data, predictions on the future number of failures to be found during further testing or even predictions on the number of faults remaining in the software after testing are possible using a statistical model.  "
49,EP0672-7283.1,METHOD AND SOFTWARE PRODUCT FOR MANAGING DATA EXCHANGE IN A HIGH-DYNAMICS SAFETY-CRITICAL SYSTEM,
50,EP0711-0335.2,Software safety analysis and evaluation system," A software safety analysis (SSA) plan is made. The SSA plan includes some SSA methods. The SSA plan is obtained through considering various combinations of SSA methods. With the present invention, a decision maker and an SSA engineer can easily come to an agreement of a reasonable SSA plan by analyzing the SSA combinations.  <!-- EPO  -->"
51,EP0944-7063.0,"Method to control operation and safety of a hydraulic press, which hydraulic press works according to this method and uses the software and carrier applied by it"," Method for a safety and testing control for a press, including a hydraulic system with at least one hydraulic cylinder, operated by means of a hydraulic valve controlled by a programmable processing unit where a number of electrical signal inputs and outputs are provided and into which a software programme is loaded, where a position sensor (6) is provided that indicates the position of the hydraulic cylinder and where the software application works solely on the basis of an internal timer and the aforementioned position sensor can control the motion of the press as well as a hydraulic press working according to this method and using the software and carrier.  "
52,WOPCT/-US1993/010078,A SYSTEM FOR OPERATING APPLICATION SOFTWARE IN A SAFETY CRITICAL ENVIRONMENT,     A system and method for operating application software in a safety critical environment comprises providing a data processor having an operating system for effecting processing operations and an intermediate shell which interacts with the operating system and application software to emulate a safety critical environment to the application software. The application software is run by interacting solely with the intermediate shell to effect a safety critical environment therefor.    
53,WOPCT/-US1996/001835,METHOD FOR OPERATING APPLICATION SOFTWARE IN A SAFETY CRITICAL ENVIRONMENT,"     A method for operating application software in a safety critical environment comprises: loading at step (20) the application software into the main memory of a computing system, linking the operating system to a set of safety critical rules to verify that safety critical operations performed by the computing system satisfy rule criteria and running at step (22) the application software in the computing system. Safety critical operations are performed as background functions during the running of the application software, and if a failure to satisfy criteria for a safety critical operation is detected at step (23), then the system determines the application specific operation being currently performed. The criteria, the action to be taken or both are dynamically adjusted at steps (26) if the currently performed application specific operation is determined at step (24) to be a critical operation.    "
54,WOPCT/-US2000/033947,METHOD OF VERIFYING PRETRAINED NEURAL NET MAPPING FOR USE IN SAFETY-CRITICAL  SOFTWARE,"A method of verifying pretrained, static, feedforward neural network  mapping software using Lipschitz constants for determining bounds on output  values and estimation errors is disclosed. By way of example, two cases  of interest from the point of view of safety-critical software, like aircraft  fuel gauging systems, are discussed. The first case is the simpler case  of when neural net mapping software is trained to replace look-up table  mapping software. A detailed verification procedure is provided to establish  functional equivalence of the neural net and look-up table mapping functions  on the entire range of inputs accepted by the look-up table mapping function.  The second case is when a neural net is trained to estimate the quantity  of interest from the process (such as fuel mass, for example) from redundant  and noisy sensor signals. Given upper and lower bounds on sensor noises  and on modeling inaccuracies, it is demonstrated how to verify the performance  of such a neural network estimator (""a black box"") when compared to a  true value of the estimated quantity."
55,WOPCT/-JP2002/012659,SOFTWARE SAFETY EXECUTION SYSTEM," A mechanism for safely executing software which is appropriate for software&#13; distribution. At site (312) of a transmitter side, an execution file (332) and&#13; a data file (334) processed by the execution file are encapsulated. Two remaining&#13; files (336, 338) do not exist physically at a pot (320) of the transmitter site.&#13; An archive file (320) is transmitted to the receiver site (314). At the receiver&#13; site (314), according to the rule of the security policy (340), a program (332)&#13; can map the file (336, 338) substantially not existing in the port to the file (354)&#13; of the local file system and file (356) of another pot (350) and perform processing&#13; by using the file (334) in the pot and the mapped files (354, 356). "
56,WOPCT/-US2004/001205,INTEGRATED ELECTRONIC SIGNATURES FOR APPROVAL OF PROCESS CONTROL AND SAFETY SYSTEM SOFTWARE OBJECTS," A software object approval system is integrated with a process control or safety&#13; system environment and, in particular, with a process control or safety system&#13; design environment to implement and manage electronic approval of new software&#13; objects created within the process control and safety system environment. The&#13; software object approval system electronically generates identification&#13; information representing a group of entities whose approval is needed prior&#13; to implementing a software object within the process control or safety system.&#13; The system may then send the software object to the entities and receive from each&#13; entity an electronic indication regarding approval of the software object.&#13; The approval system prevents the process control or safety system from implementing&#13; the software object until each entity within the group of entities approves the&#13; software object. "
57,WOPCT/-US2005/002230,AUTOMATED AND EMBEDDED SOFTWARE RELIABILITY MEASUREMENT AND CLASSIFICATION IN NETWORK ELEMENTS, The present invention provides automated kernel software outage measurement&#13; and classification. System failures are categorized into software-caused&#13; failures and hardware-caused failures. Software failures are further classified&#13; as unplanned outages and operational outages. The operational outages are then&#13; classified as unplanned operational outages and planned operational outages. 
58,WOPCT/-FR2005/051000,"METHOD FOR CONTROLLING A MACHINE-TOOL, IN PARTICULAR FOR ADJUSTING AND ENSURING THE SAFETY OF TOOL LOADING OPERATIONS AND SOFTWARE PRODUCT FOR IMPLEMENTING SAME"," A method for controlling movable components (100, 220a, 220b) of a machine-tool&#13; (M) of the type using at least one means for moving any component (100, 220a, 220b,&#13; 330) provided with a means for tracking the stroke thus achieved, as well as a means&#13; for detecting the load produced by said moving means, characterised in that said&#13; method comprises monitoring, during certain operations other than machining,&#13; the load produced by said moved component (100, 220a, 220b, 330) in order to obtain&#13; information relating to the value to which a load value previously defined as&#13; a threshold is exceeded. The invention also relates to a software product (20)&#13; for implementing said method and is useful for monitoring tool changing operations,&#13; the positioning of machine-tool components and the adjustment of machine-tools. "
59,WOPCT/-IB2006/000475,METHOD AND SOFTWARE PRODUCT FOR MANAGING DATA EXCHANGE IN A HIGH-DYNAMICS SAFETY-CRITICAL SYSTEM," Disclosed herein is a high-dynamics safety-critical system (1), comprising&#13; a plurality of apparatuses (3), a plurality of interface devices (7) through&#13; which a user can interact with the apparatuses (3), and a control computer (5)&#13; connected to the apparatuses (3) and the interface devices (7) and on which there&#13; is installed a software product (22) designed to implement and manage the data&#13; exchange between management modules (35) for the apparatuses (3) and management&#13; modules (29) for the interface devices (7), in which the management modules (29)&#13; for the interface devices (7) acquire the selections (31) made by a user via the&#13; interface devices (7), the selections (31) are then transformed (202) into commands&#13; (33) for the apparatuses (3), and the commands (33) thus generated are then stored&#13; (203) in a shared database (25) in such a way as to be usable by the management modules&#13; (35) of the apparatus (3) and actuated on the latter. "
60,WOPCT/-US2011/033725,CELLULAR PHONE SOFTWARE APPLICATION TO PROMOTE SAFETY AND SELECTIVELY DETER UNSAFE PHONE USE," A method and apparatus for providing a user of a mobile device, such as a cell phone, with applicable legal or safety information, such as restrictions on the use of a cell phone, potential fines for cell phone use, potential dangers, personal protective equipment requirements, prohibitions, guidelines and the like, based on GPS position of the mobile device. A gaming aspect is incorporated as a method of incentivizing drivers to utilize the application by providing reward points uses the cell phone in a safe manner and consistent with applicable laws. Accrued points may be redeemed for gift cards or similar rewards. "
61,CN2009-10211973,"Method to control operation and safety of a hydraulic press, which hydraulic press works according to this method and uses the software and carrier applied to it","Method for a safety and testing control for a press, including a hydraulic system with at least one hydraulic cylinder, operated by means of a hydraulic valve controlled by a programmable processing unit where a number of electrical signal inputs and outputs are provided and into which a software programme is loaded, where a position sensor is provided that indicates the position of the hydraulic cylinder and where the software application works solely on the basis of an internal timer and the aforementioned position sensor can control the motion of the press as well as a hydraulic press working according to this method and using the software and carrier."
62,CN2011-10460516,Safety loophole mining method and device of application software under Android platform,"The invention discloses a safety loophole mining method and device of application software under an Android platform. The safety loophole mining method comprises the following steps of: S1, extracting a plurality of loophole rules of source codes of application software under the Android platform to form a loophole rule library; S2, establishing an ant script, and compiling the source codes to form a bytecode file; S3, analyzing the bytecode file by using a control flow analysis engine; S4, analyzing a transmission process of data in variables by using a data flow analysis engine to establish a data flow diagram so as to provide basis for reverse dynamic data tracing; S5, carrying out loophole detection according to the rules in the loophole rule library; and S6, generating a report from a safety loophole mining process and related data information. The invention also discloses a safety loophole mining device of application software under the Android platform. The safety loophole mining method and device disclosed by the invention are beneficial to discovering safety loopholes in software as soon as possible and is also beneficial to safe development of application software under the Android platform."
63,CN2011-10412461,Automatic checking method of safety coding rule of 51 assembly language software,"The invention relates to an automatic checking method of a safety coding rule of 51 assembly language software; the automatic checking method comprises the following steps of: firstly determining the safety coding rule specific to the 51 assembly language software; then resetting source codes according to standard formats, separating and noting codes and extracting independent word mnemonic symbols; soon afterwards, adding subprogram starting and ending marks on the reset source codes, then extracting pseudo-instructions, instructions, operands, line numbers and mark numbers from the obtained word mnemonic symbols and matching with the 51 assembly language software, and identifying variable quantities, related instructions, the operands, interrupt vector areas, subprograms and interrupt service routines, thereby exacting the subprograms, names of the interrupt service routines, starting line numbers and ending line numbers; and finally judging whether errors exist in program codes by using the established safety coding rule as the standard according to extracting results and structure analyzing results and outputting a judgment result. The automatic checking method has the characteristics of high analysis accuracy rate, direct correspondence to the source programs, extensible rules and the like."
